,RouteName,PriceStart,BusesCount,FirstBus,LastBus,BookNow,RouteLink
333,Farrukhabad (Uttar Pradesh) to Delhi,From INR 479,13 bus options,First Bus : 07:30,Last Bus : 21:00,BOOK NOW,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi
334,Badaun to Delhi,From INR 334,14 bus options,First Bus : 05:30,Last Bus : 23:00,BOOK NOW,https://www.redbus.in/bus-tickets/badaun-to-delhi
335,Lucknow to Allahabad,From INR 310,67 bus options,First Bus : 00:01,Last Bus : 23:20,BOOK NOW,https://www.redbus.in/bus-tickets/lucknow-to-allahabad
336,Lucknow to Varanasi,From INR 460,42 bus options,First Bus : 00:05,Last Bus : 23:30,BOOK NOW,https://www.redbus.in/bus-tickets/lucknow-to-varanasi
337,Delhi to Badaun,From INR 334,16 bus options,First Bus : 01:30,Last Bus : 23:00,BOOK NOW,https://www.redbus.in/bus-tickets/delhi-to-badaun
338,Agra to Bareilly,From INR 323,12 bus options,First Bus : 04:30,Last Bus : 23:06,BOOK NOW,https://www.redbus.in/bus-tickets/agra-to-bareilly
339,Allahabad to Lucknow,From INR 310,65 bus options,First Bus : 03:30,Last Bus : 23:02,BOOK NOW,https://www.redbus.in/bus-tickets/allahabad-to-lucknow
340,Sitapur (Uttar Pradesh) to Delhi,From INR 648,16 bus options,First Bus : 08:50,Last Bus : 23:30,BOOK NOW,https://www.redbus.in/bus-tickets/sitapur-to-delhi
341,Delhi to Farrukhabad (Uttar Pradesh),From INR 479,19 bus options,First Bus : 04:20,Last Bus : 22:01,BOOK NOW,https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up
342,Moradabad to Delhi,From INR 261,37 bus options,First Bus : 00:35,Last Bus : 23:50,BOOK NOW,https://www.redbus.in/bus-tickets/moradabad-to-delhi
343,Delhi to Haridwar,From INR 357,14 bus options,First Bus : 04:30,Last Bus : 22:00,BOOK NOW,https://www.redbus.in/bus-tickets/delhi-to-haridwar
344,Delhi to Sitapur (Uttar Pradesh),From INR 650,16 bus options,First Bus : 05:30,Last Bus : 21:30,BOOK NOW,https://www.redbus.in/bus-tickets/delhi-to-sitapur
345,Bareilly to Agra,From INR 323,10 bus options,First Bus : 05:30,Last Bus : 23:00,BOOK NOW,https://www.redbus.in/bus-tickets/bareilly-to-agra
346,Agra to Lucknow,From INR 378,48 bus options,First Bus : 04:30,Last Bus : 23:55,BOOK NOW,https://www.redbus.in/bus-tickets/agra-to-lucknow
347,Kanpur (Uttar Pradesh) to Jhansi,From INR 381,18 bus options,First Bus : 01:35,Last Bus : 23:59,BOOK NOW,https://www.redbus.in/bus-tickets/kanpur-to-jhansi
348,Lucknow to Agra,From INR 428,29 bus options,First Bus : 05:30,Last Bus : 23:45,BOOK NOW,https://www.redbus.in/bus-tickets/lucknow-to-agra
349,Varanasi to Lucknow,From INR 472,42 bus options,First Bus : 03:00,Last Bus : 23:54,BOOK NOW,https://www.redbus.in/bus-tickets/varanasi-to-lucknow
